domain;phylum;className;order;family;genus;COLA1;COLB1;N2A;N2B;N3C1;N1C
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Asterales;Asteraceae;Lactuca;17;4;1;5;0;2
Eukaryota;Chordata;Mammalia;unclassified (derived from Mammalia);Camelidae;Lama;0;0;0;2;0;0
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);Caudovirales;Siphoviridae;Lambda-like viruses;36;959;507;139;18;4
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Laribacter;17;48;40;26;30;34
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Fabales;Fabaceae;Lathyrus;1;2;2;0;0;1
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Lawsonia;1;15;1;10;10;4
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Leadbetterella;11;71;19;58;26;13
Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Lecanicillium;3;3;0;8;1;0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Leeuwenhoekiella;17;109;13;74;41;41
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;10;74;35;62;18;19
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Microbacteriaceae;Leifsonia;110;465;156;219;363;354
Eukaryota;unclassified (derived from Eukaryota);unclassified (derived from Eukaryota);Kinetoplastida;Trypanosomatidae;Leishmania;5;13;4;1;11;10
Eukaryota;Streptophyta;Liliopsida;Alismatales;Araceae;Lemna;3;1;0;2;2;1
Bacteria;Lentisphaerae;unclassified (derived from Lentisphaerae);Lentisphaerales;Lentisphaeraceae;Lentisphaera;2;13;10;6;2;3
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Brassicales;Brassicaceae;Lepidium;243;0;1;1;0;0
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Poxviridae;Leporipoxvirus;1;0;0;0;0;0
Eukaryota;Chlorophyta;Trebouxiophyceae;Ctenocladales;Ctenocladaceae;Leptosira;0;0;1;1;0;0
Bacteria;Spirochaetes;Spirochaetes (class);Spirochaetales;Leptospiraceae;Leptospira;9;52;27;38;25;19
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unclassified (derived from Burkholderiales);Leptothrix;27;98;111;219;72;57
Bacteria;Fusobacteria;Fusobacteria (class);Fusobacteriales;Fusobacteriaceae;Leptotrichia;132;2829;68;325;369;809
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc;58;215;55;176;113;60
Eukaryota;Ascomycota;Sordariomycetes;Diaporthales;Valsaceae;Leucostoma;0;2;0;0;0;0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Limnobacter;6;29;14;31;17;23
Eukaryota;Arthropoda;Merostomata;Xiphosura;Limulidae;Limulus;1;3;0;0;0;0
Eukaryota;Ascomycota;Dothideomycetes;Pleosporales;Lindgomycetaceae;Lindgomyces;0;0;0;2;0;0
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Magnoliales;Magnoliaceae;Liriodendron;37;5;1;4;1;3
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria;276;522;79;292;259;160
Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Listonella;0;1;0;0;0;0
Eukaryota;Nematoda;Chromadorea;Spirurida;Onchocercidae;Loa;14;78;6;19;18;20
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Brassicales;Brassicaceae;Lobularia;511;4;1;2;0;1
Eukaryota;Arthropoda;Insecta;Orthoptera;Acrididae;Locusta;0;0;1;0;0;0
Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Lodderomyces;2;24;5;5;5;70
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Loktanella;4;24;16;3;4;7
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Fabales;Fabaceae;Lotus;112;7;6;17;6;16
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Lutiella;15;59;52;53;17;21
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);Herpesvirales;Herpesviridae;Lymphocryptovirus;0;5;0;0;3;0
Bacteria;Cyanobacteria;unclassified (derived from Cyanobacteria);Oscillatoriales;unclassified (derived from Oscillatoriales);Lyngbya;7;11;7;1;2;8
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Lysinibacillus;111;158;41;104;89;32
Eukaryota;Chordata;Mammalia;Primates;Cercopithecidae;Macaca;380;850;103;270;552;731
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);Herpesvirales;Herpesviridae;Macavirus;2;1;0;3;0;1
Eukaryota;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;0;1;0;0;0;0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Macrococcus;231;299;39;105;155;76
Eukaryota;Ascomycota;Sordariomycetes;Magnaporthales;Magnaporthaceae;Magnaporthe;46;156;32;97;74;118
Bacteria;Proteobacteria;unclassified (derived from Proteobacteria);unclassified (derived from Proteobacteria);unclassified (derived from Proteobacteria);Magnetococcus;11;41;39;36;19;19
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum;32;198;114;106;170;105
Eukaryota;Basidiomycota;Exobasidiomycetes;Malasseziales;Malasseziaceae;Malassezia;2354;14378;1960;4665;5950;12533
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Malpighiales;Euphorbiaceae;Manihot;31;1;6;8;1;5
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;26;224;30;96;133;67
Eukaryota;Streptophyta;Marchantiopsida;Marchantiales;Marchantiaceae;Marchantia;11;1;2;0;0;1
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);Herpesvirales;Herpesviridae;Mardivirus;0;1;0;0;0;0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Maribacter;16;143;18;78;27;61
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Hyphomonadaceae;Maricaulis;8;42;32;30;12;14
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Marinobacter;53;230;628;312;58;54
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Marinococcus;0;3;0;0;0;1
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinomonas;27;113;144;74;41;34
Bacteria;Proteobacteria;Zetaproteobacteria;Mariprofundales;Mariprofundaceae;Mariprofundus;2;4;7;5;2;14
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Maritimibacter;6;21;27;14;19;15
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Marivirga;14;32;16;28;13;8
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Adenoviridae;Mastadenovirus;2;111;91;110;0;1
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Fabales;Fabaceae;Medicago;6;0;0;1;0;0
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Ranunculales;Ranunculaceae;Megaleranthis;46;4;3;4;1;2
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;13;128;10;55;48;83
Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae;Meiothermus;38;45;34;29;51;35
Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Meleagris;0;9;0;0;2;3
Eukaryota;Chordata;Mammalia;Carnivora;Ursidae;Melursus;0;0;0;0;0;1
Bacteria;Tenericutes;Mollicutes;Entomoplasmatales;Entomoplasmataceae;Mesoplasma;2;7;0;6;3;0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium;44;150;160;141;876;68
Eukaryota;Streptophyta;Mesostigmatophyceae;Mesostigmatales;Mesostigmataceae;Mesostigma;0;6;0;1;5;1
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera;1;2;0;1;0;2
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;5;168;52;47;56;26
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;4;29;4;6;6;7
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella;0;2;0;3;2;2
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanococcoides;3;16;6;9;2;6
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;14;44;6;22;31;27
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;Methanocorpusculum;2;51;0;21;20;19
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;3;11;3;9;11;9
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalobium;0;6;0;3;1;0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalophilus;0;2;0;1;1;0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoplanus;4;3;0;2;2;1
Archaea;Euryarchaeota;Methanopyri;Methanopyrales;Methanopyraceae;Methanopyrus;0;3;2;5;0;4
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;unclassified (derived from Methanomicrobiales);Methanoregula;5;8;1;4;6;1
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanosaeta;2;15;0;4;10;2
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;21;93;15;26;29;30
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera;4;97;5;9;7;7
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;unclassified (derived from Methanomicrobiales);Methanosphaerula;0;6;1;2;6;2
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanospirillaceae;Methanospirillum;2;15;3;6;6;5
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanothermobacter;2;17;3;8;10;4
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanothermococcus;0;1;0;0;0;0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;Methanothermus;0;1;0;3;1;2
Bacteria;Verrucomicrobia;unclassified (derived from Verrucomicrobia);Methylacidiphilales;Methylacidiphilaceae;Methylacidiphilum;5;10;1;5;4;3
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unclassified (derived from Burkholderiales);Methylibium;52;153;163;315;111;60
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylobacillus;22;80;68;55;30;36
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylobacter;3;24;35;15;8;3
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;99;526;251;471;677;432
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylocella;5;32;17;18;24;16
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylococcus;25;60;61;89;23;27
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Methylophaga;1;20;90;23;2;5
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Methylosinus;7;14;9;16;18;11
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylotenera;10;37;35;46;14;15
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylovorus;11;23;31;30;10;18
Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Meyerozyma;0;18;3;2;14;16
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micrococcaceae;Micrococcus;503;1076;1390;1062;744;418
Bacteria;Cyanobacteria;unclassified (derived from Cyanobacteria);Oscillatoriales;unclassified (derived from Oscillatoriales);Microcoleus;0;15;10;12;3;4
Bacteria;Cyanobacteria;unclassified (derived from Cyanobacteria);Chroococcales;unclassified (derived from Chroococcales);Microcystis;6;30;7;9;9;9
Eukaryota;Chlorophyta;Prasinophyceae;Mamiellales;unclassified (derived from Mamiellales);Micromonas;0;11;6;6;2;2
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Micromonosporaceae;Micromonospora;53;265;64;255;165;154
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Microscilla;6;18;12;7;13;7
Eukaryota;Chordata;Mammalia;Rodentia;Cricetidae;Microtus;0;1;0;1;0;0
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Microviridae;Microvirus;3642;2307;1003;697;4052;3202
Eukaryota;Chordata;Actinopterygii;Cypriniformes;Cobitidae;Misgurnus;0;0;0;0;0;1
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Mitsuokella;6;64;0;30;36;49
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinomycetaceae;Mobiluncus;104;1232;112;346;577;890
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Poxviridae;Molluscipoxvirus;18;23;1;0;19;1
Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Marasmiaceae;Moniliophthora;3;42;16;14;13;36
Eukaryota;Chytridiomycota;Monoblepharidomycetes;Monoblepharidales;Monoblepharidaceae;Monoblepharella;0;1;0;2;0;2
Eukaryota;Chordata;Mammalia;Didelphimorphia;Didelphidae;Monodelphis;11;137;6;11;28;34
Eukaryota;Chordata;Mammalia;Cetacea;Monodontidae;Monodon;0;0;0;0;0;1
Eukaryota;unclassified (derived from Eukaryota);unclassified (derived from Eukaryota);Choanoflagellida;Codonosigidae;Monosiga;7;61;8;18;26;32
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Geraniales;Geraniaceae;Monsonia;15;2;0;2;0;0
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Moorella;15;78;11;56;51;36
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;74;115;62;49;34;30
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Moritellaceae;Moritella;3;14;4;2;7;5
Eukaryota;unclassified (derived from Fungi);unclassified (derived from Fungi);Mortierellales;Mortierellaceae;Mortierella;0;0;0;1;1;0
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Rosales;Moraceae;Morus;38;13;13;17;3;2
Eukaryota;Chordata;Mammalia;unclassified (derived from Mammalia);Moschidae;Moschus;0;1;0;0;0;1
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);Caudovirales;Myoviridae;Mu-like viruses;0;1;0;0;0;0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;15;68;44;71;36;7
Eukaryota;Chordata;Mammalia;unclassified (derived from Mammalia);Cervidae;Muntiacus;0;1;0;0;0;0
Eukaryota;Chordata;Mammalia;Rodentia;Muridae;Mus;72;705;28;74;110;184
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Mycobacteriaceae;Mycobacterium;1139;8317;1199;2198;3830;5584
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma;13;98;10;29;21;48
Eukaryota;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Mycosphaerella;0;3;1;4;0;0
Eukaryota;Ascomycota;Dothideomycetes;Myriangiales;Myriangiaceae;Myriangium;0;1;0;0;0;0
Eukaryota;Chordata;Mammalia;Chiroptera;Mystacinidae;Mystacina;0;0;0;0;1;0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae;Myxococcus;13;62;37;46;58;26
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);Caudovirales;Podoviridae;N4-like viruses;0;11;5;22;2;2
Eukaryota;unclassified (derived from Eukaryota);Heterolobosea;Schizopyrenida;Vahlkampfiidae;Naegleria;4;15;3;2;1;3
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Nakamurellaceae;Nakamurella;64;458;86;147;238;366
Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Nakaseomyces;7;35;9;19;27;63
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Ranunculales;Berberidaceae;Nandina;22;2;2;2;0;4
Archaea;Nanoarchaeota;unclassified (derived from Nanoarchaeota);unclassified (derived from Nanoarchaeota);unclassified (derived from Nanoarchaeota);Nanoarchaeum;0;0;1;1;0;0
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Nanoviridae;Nanovirus;0;1;0;0;0;0
Eukaryota;Arthropoda;Insecta;Hymenoptera;Pteromalidae;Nasonia;8;309;50;8;5;6
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Brassicales;Brassicaceae;Nasturtium;166;1;0;0;1;0
Bacteria;Firmicutes;Clostridia;Natranaerobiales;Natranaerobiaceae;Natranaerobius;14;28;3;32;8;16
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natrialba;2;5;4;3;2;9
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronomonas;1;14;13;7;2;9
Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Naumovia;0;3;3;1;0;2
Bacteria;Proteobacteria;Epsilonproteobacteria;Nautiliales;Nautiliaceae;Nautilia;1;7;1;2;3;6
Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Nectria;104;131;18;481;47;40
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;470;4389;599;4027;3968;3285
Eukaryota;Cnidaria;Anthozoa;Actiniaria;Edwardsiidae;Nematostella;7;215;22;21;4;4
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Neorickettsia;2;7;1;0;2;2
Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Neosartorya;143;405;102;177;125;432
Eukaryota;Chlorophyta;Prasinophyceae;Pseudoscourfieldiales;Pycnococcaceae;Nephroselmis;0;2;0;0;0;1
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Neptuniibacter;4;11;39;9;13;7
Eukaryota;Ascomycota;Sordariomycetes;Sordariales;Sordariaceae;Neurospora;52;308;49;183;98;192
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Solanales;Solanaceae;Nicotiana;133;19;10;15;1;6
Bacteria;Proteobacteria;Epsilonproteobacteria;unclassified (derived from Epsilonproteobacteria);unclassified (derived from Epsilonproteobacteria);Nitratiruptor;1;20;3;11;5;5
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Nitrobacter;32;163;149;106;178;65
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Nitrococcus;9;33;62;43;16;16
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus;27;76;179;113;35;28
Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas;48;173;157;98;46;61
Archaea;Thaumarchaeota;unclassified (derived from Thaumarchaeota);Nitrosopumilales;Nitrosopumilaceae;Nitrosopumilus;0;4;1;2;0;2
Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;21;116;100;50;46;21
Bacteria;Nitrospirae;Nitrospira (class);Nitrospirales;Nitrospiraceae;Nitrospira;8;17;8;27;7;13
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Nocardiaceae;Nocardia;309;2062;356;486;825;1511
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Nocardioidaceae;Nocardioides;170;1311;339;489;762;926
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Nocardiopsaceae;Nocardiopsis;74;205;79;89;181;219
Bacteria;Cyanobacteria;unclassified (derived from Cyanobacteria);Nostocales;Nostocaceae;Nodularia;2;14;7;12;2;9
Eukaryota;Microsporidia;unclassified (derived from Microsporidia);unclassified (derived from Microsporidia);Nosematidae;Nosema;0;2;3;1;0;0
Bacteria;Cyanobacteria;unclassified (derived from Cyanobacteria);Nostocales;Nostocaceae;Nostoc;28;66;27;72;36;32
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;30;221;163;157;83;89
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Nymphaeales;Nymphaeaceae;Nuphar;10;2;0;2;1;2
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Nymphaeales;Nymphaeaceae;Nymphaea;0;0;0;0;1;0
Eukaryota;Chordata;Amphibia;Anura;Ranidae;Occidozyga;0;1;0;1;3;0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Oceanibulbus;1;12;15;1;5;5
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Hyphomonadaceae;Oceanicaulis;5;14;19;14;13;14
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Oceanicola;10;49;77;45;36;9
Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae;Oceanithermus;5;13;3;6;2;11
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Oceanobacillus;114;199;30;155;96;52
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae;Ochrobactrum;42;112;73;87;94;33
Eukaryota;unclassified (derived from Eukaryota);Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;0;0;0;0;1;1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Octadecabacter;3;9;10;6;7;7
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Eupodiscales;Eupodiscaceae;Odontella;0;3;1;0;0;0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Oenococcus;20;84;9;43;25;23
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Myrtales;Onagraceae;Oenothera;13;4;4;0;1;4
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Lamiales;Oleaceae;Olea;10;0;0;3;1;0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Oligotropha;5;49;27;29;41;18
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Brassicales;Brassicaceae;Olimarabidopsis;168;2;2;0;0;0
Bacteria;Actinobacteria;Actinobacteria (class);Coriobacteriales;Coriobacteriaceae;Olsenella;7;119;7;93;131;104
Eukaryota;Streptophyta;Liliopsida;Asparagales;Orchidaceae;Oncidium;0;0;0;2;0;1
Eukaryota;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;1;18;0;1;0;0
Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Ophionectria;1;0;0;0;0;0
Bacteria;Verrucomicrobia;Opitutae;unclassified (derived from Opitutae);Opitutaceae;Opitutus;4;50;10;35;12;14
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium;34;332;18;146;151;189
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Orientia;0;4;0;0;0;3
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Ornithobacterium;0;1;1;1;0;0
Eukaryota;Chordata;Mammalia;Monotremata;Ornithorhynchidae;Ornithorhynchus;14;78;4;22;25;33
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Poxviridae;Orthopoxvirus;1;3;0;0;1;1
Eukaryota;Arthropoda;Insecta;Hymenoptera;Orussidae;Orussus;0;1;0;0;0;0
Eukaryota;Chordata;Mammalia;Lagomorpha;Leporidae;Oryctolagus;7;65;3;0;6;20
Eukaryota;Streptophyta;Liliopsida;Poales;Poaceae;Oryza;193;94;76;137;33;83
Eukaryota;Chordata;Actinopterygii;Beloniformes;Adrianichthyidae;Oryzias;0;1;0;0;0;0
Eukaryota;Porifera;Demospongiae;Homosclerophorida;Plakinidae;Oscarella;0;0;0;0;1;0
Bacteria;Cyanobacteria;unclassified (derived from Cyanobacteria);Oscillatoriales;unclassified (derived from Oscillatoriales);Oscillatoria;3;10;3;22;3;3
Bacteria;Chloroflexi;Chloroflexi (class);Chloroflexales;Oscillochloridaceae;Oscillochloris;7;28;3;8;24;8
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);Herpesvirales;Malacoherpesviridae;Ostreavirus;0;1;0;0;0;0
Eukaryota;Chlorophyta;Prasinophyceae;Mamiellales;unclassified (derived from Mamiellales);Ostreococcus;11;32;6;7;3;7
Eukaryota;Chordata;Mammalia;Primates;Galagidae;Otolemur;0;0;0;0;0;1
Eukaryota;Chordata;Mammalia;unclassified (derived from Mammalia);Bovidae;Ovis;0;3;0;0;0;1
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Oxalobacter;10;52;28;69;13;15
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);Caudovirales;Myoviridae;P1-like viruses;1;27;3;2;2;2
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);Caudovirales;Myoviridae;P2-like viruses;4;9;4;5;2;9
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);Caudovirales;Podoviridae;P22-like viruses;0;32;18;1;0;1
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;302;433;116;516;169;113
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Paludibacter;25;193;13;94;51;35
Eukaryota;Chordata;Mammalia;Primates;Hominidae;Pan;925;1453;274;542;1190;1546
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Apiales;Araliaceae;Panax;27;1;2;3;1;0
Eukaryota;Chordata;Mammalia;Carnivora;Felidae;Panthera;0;0;0;1;0;0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Pantoea;194;2333;252;212;351;3474
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;50;1083;46;622;402;253
Bacteria;Chlamydiae;Chlamydiae (class);Chlamydiales;Parachlamydiaceae;Parachlamydia;3;11;1;2;4;0
Eukaryota;Ascomycota;Eurotiomycetes;Onygenales;unclassified (derived from Onygenales);Paracoccidioides;3;5;6;3;3;7
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;86;253;369;158;122;73
Eukaryota;Glomeromycota;Glomeromycetes;Paraglomerales;Paraglomeraceae;Paraglomus;0;1;0;0;0;0
