domain;phylum;className;order;family;genus;COLA1;COLB1;N2A;N2B;N3C1;N1C
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacterales Family III. Incertae Sedis;Caldicellulosiruptor;42;227;18;184;102;84
Bacteria;Deferribacteres;Deferribacteres (class);Deferribacterales;Deferribacteraceae;Calditerrivibrio;3;5;1;7;1;4
Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Caldivirga;0;0;1;1;1;1
Eukaryota;Chordata;Mammalia;Primates;Cebidae;Callithrix;23;1404;10;60;47;123
Bacteria;Proteobacteria;Epsilonproteobacteria;Nautiliales;Nautiliaceae;Caminibacter;0;2;1;2;0;0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;96;1375;47;210;289;540
Eukaryota;Ascomycota;Lecanoromycetes;Candelariales;Candelariaceae;Candelariella;0;1;0;0;0;0
Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;unclassified (derived from Saccharomycetales);Candida;16;83;10;25;45;1763
Bacteria;Proteobacteria;Betaproteobacteria;unclassified (derived from Betaproteobacteria);unclassified (derived from Betaproteobacteria);Candidatus Accumulibacter;25;67;44;57;24;27
Bacteria;Bacteroidetes;unclassified (derived from Bacteroidetes);unclassified (derived from Bacteroidetes);unclassified (derived from Bacteroidetes);Candidatus Amoebophilus;5;16;3;11;4;3
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;unclassified (derived from Bacteroidales);Candidatus Azobacteroides;4;38;0;15;5;5
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Candidatus Blochmannia;0;4;3;3;3;3
Bacteria;unclassified (derived from Bacteria);unclassified (derived from Bacteria);unclassified (derived from Bacteria);unclassified (derived from Bacteria);Candidatus Cloacamonas;0;6;1;6;2;1
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Candidatus Desulforudis;5;26;3;20;16;10
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Candidatus Hamiltonella;2;4;15;6;1;9
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;unclassified (derived from Rhizobiales);Candidatus Hodgkinia;0;3;0;0;0;3
Archaea;Korarchaeota;unclassified (derived from Korarchaeota);unclassified (derived from Korarchaeota);unclassified (derived from Korarchaeota);Candidatus Korarchaeum;2;2;0;2;1;1
Bacteria;Acidobacteria;unclassified (derived from Acidobacteria);unclassified (derived from Acidobacteria);unclassified (derived from Acidobacteria);Candidatus Koribacter;11;55;26;38;35;20
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Candidatus Liberibacter;0;1;0;0;0;1
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;unclassified (derived from Rickettsiales);Candidatus Pelagibacter;6;18;9;7;4;10
Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Candidatus Phytoplasma;1;8;1;5;11;3
Bacteria;Chlamydiae;Chlamydiae (class);Chlamydiales;Parachlamydiaceae;Candidatus Protochlamydia;6;9;3;8;6;5
Bacteria;Proteobacteria;Alphaproteobacteria;unclassified (derived from Alphaproteobacteria);unclassified (derived from Alphaproteobacteria);Candidatus Puniceispirillum;0;8;5;7;3;3
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Candidatus Regiella;5;2;6;5;1;5
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Candidatus Riesia;0;1;0;1;0;0
Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus Solibacter;14;122;62;99;56;41
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;unclassified (derived from Flavobacteriales);Candidatus Sulcia;0;4;0;5;0;2
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Candidatus Zinderia;0;2;0;0;0;0
Eukaryota;Chordata;Mammalia;Carnivora;Canidae;Canis;92;662;47;113;130;153
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;119;2552;102;419;611;1209
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Poxviridae;Capripoxvirus;1;0;0;0;0;0
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Brassicales;Brassicaceae;Capsella;109;1;1;1;0;0
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Carboxydothermus;24;174;13;72;49;51
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;19;368;20;56;124;239
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Brassicales;Caricaceae;Carica;34;5;9;3;1;1
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacterium;84;65;23;37;30;23
Eukaryota;Streptophyta;unclassified (derived from Streptophyta);Fagales;Fagaceae;Castanea;50;3;92;4;2;3
Eukaryota;Chordata;Aves;Casuariiformes;Casuariidae;Casuarius;0;0;0;0;0;1
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Catenibacterium;9;225;5;67;32;55
Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Catenulisporaceae;Catenulispora;68;357;59;99;197;271
Eukaryota;Streptophyta;Coniferopsida;Coniferales;Pinaceae;Cathaya;0;0;0;2;0;0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Catonella;61;327;46;158;254;383
Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Caulimoviridae;Caulimovirus;0;1;0;4;0;0
