RSV;Taxonomic classification;ISSCapoA1;ISSCapoA2;ISSCapoA3;ISSCapoA4;ISSCapoA5;ISSCapoA6;ISSCapoA7;ISSCapoA8;ISSCapoA9;ISSCapoC1;ISSCapoC2;ISSCapoC3;ISSCapoC4;ISSCapoC5;ISSCapoC6;ISSCapoC7;ISSCapoB1;ISSCapoB2;ISSCapoB3;ISSCapoB4;ISSCapoB5;ISSCapoB6;ISSCapoB7;ISSCapoB8
RSV_0037;"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia;s__";0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0
RSV_0038;"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomodales;f__Sphingomodaceae;g__Sphingomos;s__";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197;0
RSV_0039;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alloiococcus;s__";64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RSV_0040;"k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__YNPFFP1;g__;s__";0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RSV_0041;"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__";0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;52;0;0;0;0
RSV_0042;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__";0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0
RSV_0043;"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium_1;s__";2182;0;0;827;0;212;0;0;0;0;402;836;2032;474;326;149;0;0;0;0;0;0;0;0
RSV_0044;"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Thauera;s__";0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RSV_0045;"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomodales;f__Xanthomodaceae;g__Stenotrophomos;s__";0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RSV_0046;"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;0;0;0
RSV_0047;"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Pseudoclavibacter;s__";0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0
RSV_0048;"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Slackia;s__";0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0
RSV_0049;"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium;s__";0;0;0;0;0;0;0;0;0;0;0;0;0;322;0;0;0;0;0;0;0;0;0;0
RSV_0050;"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomodales;f__Moraxellaceae;g__Acinetobacter;s__";0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RSV_0051;"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__";0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RSV_0052;"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium_1;s__";792;0;0;0;0;0;0;0;0;0;36;0;70;0;149;0;0;0;0;0;0;42;0;0
