"";"domain";"phylum";"className";"order";"family";"genus";"COLA1";"COLB1";"N2A";"N2B";"N3C1";"N1C"
"727";"Viruses";"unclassified (derived from Viruses)";"unclassified (derived from Viruses)";"Caudovirales";"Myoviridae";"P2-like viruses";0,00376879812377397;0,00258883631630071;0,00418959580284324;0,00343597170158004;0,00168800835663434;0,00345579465338288
"728";"Viruses";"unclassified (derived from Viruses)";"unclassified (derived from Viruses)";"Caudovirales";"Podoviridae";"P22-like viruses";0;0,00488155657236863;0,00888747480786346;0,00153661325869972;0;0,00115193155112763
"729";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Paenibacillaceae";"Paenibacillus";0,0327473642753282;0,0179567313705743;0,0225616638735899;0,0349051434363888;0,0155168280237842;0,0122452003547763
"730";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Porphyromonadaceae";"Paludibacter";0,00942199530943492;0,0119884211740204;0,00755290124531001;0,014898018285675;0,0085240243669125;0,00681491896114073
"731";"Eukaryota";"Chordata";"Mammalia";"Primates";"Hominidae";"Pan";0,0573117600288763;0,0328939588436744;0,0346750751967075;0,0357737295552474;0,0411749494982093;0,0452930345357339
"732";"Eukaryota";"Streptophyta";"unclassified (derived from Streptophyta)";"Apiales";"Araliaceae";"Panax";0,00979162475077016;0,000862945438766905;0,00296249160262115;0,00266149223565189;0,0011936021556757;0
"733";"Eukaryota";"Chordata";"Mammalia";"Carnivora";"Felidae";"Panthera";0;0;0;0,00153661325869972;0;0
"734";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Pantoea";0,0262466418031234;0,0416812473309439;0,0332538857646096;0,0223734267613188;0,0223621292192364;0,0678955922054664
"735";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Porphyromonadaceae";"Parabacteroides";0,0133247135512186;0,0283986415379778;0,0142076106153997;0,0383230237694903;0,0239316488070827;0,0183225929801509
"736";"Bacteria";"Chlamydiae";"Chlamydiae (class)";"Chlamydiales";"Parachlamydiaceae";"Parachlamydia";0,00326387491692339;0,00286206623493843;0,00209479790142162;0,00217309931057546;0,00238720431135141;0
"737";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Onygenales";"unclassified (derived from Onygenales)";"Paracoccidioides";0,00326387491692339;0,00192960466195618;0,00513118597273599;0,00266149223565189;0,00206737957765406;0,00304772441165259
"738";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"Paracoccus";0,0174751979932099;0,0137259874713267;0,0402397536453487;0,0193149291605292;0,0131837667203311;0,00984210748718388
"739";"Eukaryota";"Glomeromycota";"Glomeromycetes";"Paraglomerales";"Paraglomeraceae";"Paraglomus";0;0,000862945438766905;0;0;0;0
"740";"Eukaryota";"unclassified (derived from Eukaryota)";"Oligohymenophorea";"Peniculida";"Parameciidae";"Paramecium";0,00266494271024371;0,00228313902599475;0,00296249160262115;0,00343597170158004;0,00206737957765406;0,00304772441165259
"741";"Eukaryota";"Nemertea";"Enopla";"Monostilifera";"unclassified (derived from Monostilifera)";"Paranemertes";0;0,000862945438766905;0;0;0;0
"742";"Bacteria";"Actinobacteria";"Actinobacteria (class)";"Bifidobacteriales";"Bifidobacteriaceae";"Parascardovia";0,00595899305624746;0,00695728855005737;0,00628439370426486;0,00813099308760803;0,00726039846862736;0,00869689249177821
"743";"Eukaryota";"Streptophyta";"unclassified (derived from Streptophyta)";"Asterales";"Asteraceae";"Parthenium";0;0,000862945438766905;0,00209479790142162;0,00266149223565189;0;0,00199520397339468
"744";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Phyllobacteriaceae";"Parvibaculum";0,00923163234680482;0,00762132775587766;0,0211564217502782;0,0134837266222846;0,00782697275831778;0,00527881352845024
"745";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Parvularculales";"Parvularculaceae";"Parvularcula";0,00461581617340241;0,00366116742927647;0,00725659279370181;0,00434619862115092;0,0037745014320221;0,0047495354587808
"746";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pasteurellales";"Pasteurellaceae";"Pasteurella";0,0162102136632618;0,0233952131912091;0,0170182186011001;0,0284584758066281;0,0217156879029229;0,0189631866227429
"747";"Eukaryota";"Basidiomycota";"Agaricomycetes";"Boletales";"Paxillaceae";"Paxillus";0;0;0,00209479790142162;0,00153661325869972;0,0011936021556757;0
"748";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Pectobacterium";0,0133247135512186;0,0158650588601981;0,019650946180946;0,0151338854812881;0,0132376882816504;0,0197178920134888
"749";"Eukaryota";"Arthropoda";"Insecta";"Phthiraptera";"Pediculidae";"Pediculus";0,00421364439911613;0,021243185899363;0,01239299151428;0,00406549654380401;0,00206737957765406;0,00345579465338288
"750";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Pediococcus";0,0111482551933215;0,0121427186575801;0,00837919160568648;0,0138295193282975;0,0144716570435784;0,0082264367269583
"751";"Bacteria";"Bacteroidetes";"Sphingobacteria";"Sphingobacteriales";"Sphingobacteriaceae";"Pedobacter";0,0151925109375849;0,0216253507120982;0,0399661967442407;0,0390855940022307;0,0126318978730741;0,00789724483783523
"752";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"Pelagibaca";0,00498565128855637;0,00286206623493843;0,0106814153763821;0,00460983977609916;0,00358080646702711;0,00446141171348818
"753";"Eukaryota";"Streptophyta";"unclassified (derived from Streptophyta)";"Geraniales";"Geraniaceae";"Pelargonium";0,00266494271024371;0;0;0,00217309931057546;0;0,00115193155112763
"754";"Bacteria";"Proteobacteria";"Deltaproteobacteria";"Desulfuromonadales";"Pelobacteraceae";"Pelobacter";0,00729824618429717;0,00786180710231142;0,0137365084594091;0,0140832931437284;0,00791746099867137;0,00846493355662631
"755";"Bacteria";"Chlorobi";"Chlorobia";"Chlorobiales";"Chlorobiaceae";"Pelodictyon";0,00595899305624746;0,00552554685455049;0,00783801604165276;0,00768306629349859;0,0052027911753827;0,00431013319733465
"756";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptococcaceae";"Pelotomaculum";0,00903726042349852;0,00800262678155243;0,00755290124531001;0,0111867133806594;0,00716161293405423;0,00564328903775088
"757";"Eukaryota";"Ascomycota";"Eurotiomycetes";"Eurotiales";"Trichocomaceae";"Penicillium";0,0187495339307305;0,016167277613479;0,0182620247188758;0,0144147100907176;0,0156539455166356;0,021795567780102
"758";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Clostridiales Family XI. Incertae Sedis";"Peptoniphilus";0,0239103436139033;0,0315654070609925;0,0188531811127946;0,0281665862874569;0,024315524547169;0,0291873178559846
"759";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptostreptococcaceae";"Peptostreptococcus";0,00923163234680482;0,0118321117343549;0,00936822101340529;0,0132184470609853;0,0110690110271378;0,0105576270569005
"760";"Eukaryota";"unclassified (derived from Eukaryota)";"unclassified (derived from Eukaryota)";"Perkinsida";"Perkinsidae";"Perkinsus";0,00188439906188698;0,00258883631630071;0,00296249160262115;0,00153661325869972;0,00206737957765406;0
"761";"Bacteria";"Aquificae";"Aquificae (class)";"Aquificales";"Hydrogenothermaceae";"Persephonella";0,00326387491692339;0,00322884617534507;0;0,0037639184158096;0,00238720431135141;0,00257579725374815
"762";"Bacteria";"Thermotogae";"Thermotogae (class)";"Thermotogales";"Thermotogaceae";"Petrotoga";0,00421364439911613;0,00440017563143834;0,00296249160262115;0,00752783683161919;0,00395873049933569;0,00431013319733465
"763";"Viruses";"unclassified (derived from Viruses)";"unclassified (derived from Viruses)";"unclassified (derived from Viruses)";"Caulimoviridae";"Petuvirus";0;0;0;0,00153661325869972;0;0
