"";"RSV";"Domain";"Phylum";"Class";"Order";"Family";"Genus";"Species";"ISSCapoA1";"ISSCapoA2";"ISSCapoA3";"ISSCapoA4";"ISSCapoA5";"ISSCapoA6";"ISSCapoA7";"ISSCapoA8";"ISSCapoA9";"ISSCapoC1";"ISSCapoC2";"ISSCapoC3";"ISSCapoC4";"ISSCapoC5";"ISSCapoC6";"ISSCapoC7";"ISSCapoB1";"ISSCapoB2";"ISSCapoB3";"ISSCapoB4";"ISSCapoB5";"ISSCapoB6";"ISSCapoB7";"ISSCapoB8"
"912";"RSV_0912";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pasteurellales";"Pasteurellaceae";"Actinobacillus";NA;0;0;0;0;0;0;0;0;0;0;55;44;0;0;30;37;0;0;0;59;0;0;0;0
"913";"RSV_0913";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus";NA;0;0;0;0;0;0;0;0;0;0;112;46;0;0;67;0;0;0;0;0;0;0;0;0
"914";"RSV_0914";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";NA;NA;0;0;0;0;0;0;0;0;0;0;0;28;0;32;0;0;0;0;0;163;0;0;0;0
"915";"RSV_0915";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Blautia";NA;0;0;0;0;0;0;0;0;0;0;41;0;0;86;0;0;0;0;0;0;0;45;0;0
"916";"RSV_0916";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lactobacillus";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;221;0;0;0
"917";"RSV_0917";"Bacteria";"Actinobacteria";"Actinobacteria";"Propionibacteriales";"Propionibacteriaceae";"Propionibacterium";NA;40;0;0;84;0;31;0;0;0;0;167;50;60;28;59;37;0;0;0;0;0;0;0;0
"918";"RSV_0918";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Brucellaceae";"Brucella";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118;0;0;0
"919";"RSV_0919";"Bacteria";"Bacteroidetes";"Flavobacteriia";"Flavobacteriales";"Flavobacteriaceae";"Capnocytophaga";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213;0;0;0;0
"920";"RSV_0920";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Cardiobacteriales";"Cardiobacteriaceae";"Cardiobacterium";NA;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0
"921";"RSV_0921";"Bacteria";"Firmicutes";"Negativicutes";"Selenomodales";"Veillonellaceae";"Selenomos";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;4;52;0;0;0;0;0;0;0;0;0
"922";"RSV_0922";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia-Shigella";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215
"923";"RSV_0923";"Bacteria";"Actinobacteria";"Actinobacteria";"Pseudonocardiales";"Pseudonocardiaceae";"Saccharopolyspora";NA;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"924";"RSV_0924";"Bacteria";"Bacteroidetes";"Flavobacteriia";"Flavobacteriales";"Flavobacteriaceae";"Myroides";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214;0;0;0;0;0
"925";"RSV_0925";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Oceanospirillales";"Alcanivoracaceae";"Alcanivorax";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213;0;0;0;0;0
"926";"RSV_0926";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia-Shigella";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213
"927";"RSV_0927";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Ruminiclostridium_5";NA;0;0;0;0;0;0;0;0;0;0;14;0;0;28;0;0;0;0;0;0;0;0;0;0
"928";"RSV_0928";"Bacteria";"Fusobacteria";"Fusobacteriia";"Fusobacteriales";"Leptotrichiaceae";"Leptotrichia";NA;0;0;0;0;0;0;0;0;0;0;0;54;0;0;85;0;0;0;0;0;0;0;0;0
"929";"RSV_0929";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Lachnospiraceae_UCG-004";NA;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0
"930";"RSV_0930";"Bacteria";"Proteobacteria";"Betaproteobacteria";"Neisseriales";"Neisseriaceae";"Neisseria";NA;73;0;0;0;0;83;0;0;0;0;122;555;65;56;122;0;0;0;0;156;0;853;0;0
"931";"RSV_0931";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Oribacterium";NA;0;0;0;0;0;0;0;0;0;0;0;49;0;0;27;0;0;0;0;21;0;0;0;0
"932";"RSV_0932";"Archaea";"Woesearchaeota_(DHVEG-6)";NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;201;0;0;0;0
"933";"RSV_0933";"Bacteria";"Fusobacteria";"Fusobacteriia";"Fusobacteriales";"Fusobacteriaceae";"Fusobacterium";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0
"934";"RSV_0934";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Streptococcus";NA;0;0;0;0;0;0;0;0;0;0;0;36;64;28;0;0;0;0;0;0;0;0;0;0
"935";"RSV_0935";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lactobacillus";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;196;0;0;0;0;0;0;0;0;0;0
"936";"RSV_0936";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomodales";"Pseudomodaceae";NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;195;0;0;0;0;0;0
"937";"RSV_0937";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Johnsonella";NA;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;48;0;0;0;133
"938";"RSV_0938";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"[Eubacterium]_rumintium_group";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0
"939";"RSV_0939";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Family_XIII";"[Eubacterium]_brachy_group";NA;0;0;0;0;0;0;0;0;0;0;0;26;8;0;32;0;0;0;0;0;0;0;0;0
"940";"RSV_0940";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lactobacillus";NA;0;0;0;0;0;0;0;0;0;0;94;0;0;0;0;76;0;0;0;23;0;0;0;0
"941";"RSV_0941";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia-Shigella";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;192
"942";"RSV_0942";"Bacteria";"Actinobacteria";"Coriobacteriia";"Coriobacteriales";"Coriobacteriaceae";"Senegalimassilia";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
"943";"RSV_0943";"Bacteria";"Bacteroidetes";"Sphingobacteriia";"Sphingobacteriales";"Sphingobacteriaceae";"Sphingobacterium";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
"944";"RSV_0944";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomodales";"Xanthomodaceae";"Lysobacter";NA;0;0;0;0;0;0;0;0;137;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0
"945";"RSV_0945";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";NA;NA;0;0;0;0;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"946";"RSV_0946";"Bacteria";"Actinobacteria";"Actinobacteria";"Corynebacteriales";"Corynebacteriaceae";"Corynebacterium_1";NA;101;88;0;0;0;81;0;0;0;0;53;68;673;104;31;0;244;148;0;0;0;0;0;115
"947";"RSV_0947";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Pantoea";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0
"948";"RSV_0948";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotella_2";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;23;0;0;0;0
"949";"RSV_0949";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Aerococcaceae";"Facklamia";NA;65;0;0;0;0;0;0;0;0;0;0;9;0;20;5;0;0;0;0;0;0;0;0;0
"950";"RSV_0950";"Bacteria";"Firmicutes";"Negativicutes";"Selenomodales";"Veillonellaceae";"Dialister";NA;0;0;0;0;0;0;0;0;0;0;0;32;0;0;40;0;0;0;0;0;0;0;0;0
"951";"RSV_0951";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomodales";"Moraxellaceae";"Acinetobacter";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;1364;0;0
"952";"RSV_0952";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Faecalibacterium";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0
